date,home_team,away_team,home_rank,away_rank,home_points,away_points,home_played,away_played,home_won,away_won,home_drawn,away_drawn,home_lost,away_lost,home_goals_for,away_goals_for,home_goals_against,away_goals_against,result
14.01.2023,Antalyaspor,Giresunspor,13,16,41,40,36,36,11,10,8,10,17,16,46,42,55,60,D
14.01.2023,Konyaspor,Besiktas,8,3,51,78,36,36,12,23,15,9,9,4,49,78,41,36,A
14.01.2023,Adana Demirspor,Ankaragucu,4,11,69,42,36,36,20,12,9,6,7,18,76,43,45,53,H
14.01.2023,Trabzonspor,Istanbul Basaksehir,6,5,57,62,36,36,17,18,6,8,13,10,64,54,54,37,H
15.01.2023,Ümraniyespor,İstanbulspor,17,12,30,41,36,36,7,12,9,5,20,19,47,47,64,63,A
15.01.2023,Kasimpasa,Fatih Karagümrük,10,7,43,51,36,36,12,13,7,12,17,11,45,75,61,63,D
15.01.2023,Gazişehir Gaziantep,Fenerbahce,18,2,25,80,36,36,6,25,7,5,23,6,31,87,72,42,A
20.01.2023,Adana Demirspor,Giresunspor,4,16,69,40,36,36,20,10,9,10,7,16,76,42,45,60,D
21.01.2023,Kasimpasa,Istanbul Basaksehir,10,5,43,62,36,36,12,18,7,8,17,10,45,54,61,37,A
21.01.2023,Galatasaray,Antalyaspor,1,13,88,41,36,36,28,11,4,8,4,17,83,46,27,55,H
22.01.2023,Gazişehir Gaziantep,Sivasspor,18,14,25,41,36,36,6,11,7,8,23,17,31,46,72,54,A
22.01.2023,Alanyaspor,Fatih Karagümrük,15,7,41,51,36,36,11,13,8,12,17,11,54,75,70,63,D
22.01.2023,Kayserispor,Besiktas,9,3,47,78,36,36,15,23,5,9,16,4,55,78,61,36,A
22.01.2023,Trabzonspor,İstanbulspor,6,12,57,41,36,36,17,12,6,5,13,19,64,47,54,63,H
23.01.2023,Konyaspor,Ankaragucu,8,11,51,42,36,36,12,12,15,6,9,18,49,43,41,53,A
23.01.2023,Ümraniyespor,Fenerbahce,17,2,30,80,36,36,7,25,9,5,20,6,47,87,64,42,A
27.01.2023,Besiktas,Alanyaspor,3,15,78,41,36,36,23,11,9,8,4,17,78,54,36,70,H
28.01.2023,Sivasspor,Adana Demirspor,14,4,41,69,36,36,11,20,8,9,17,7,46,76,54,45,A
28.01.2023,Ankaragucu,Gazişehir Gaziantep,11,18,42,25,36,36,12,6,6,7,18,23,43,31,53,72,A
28.01.2023,Hatayspor,Trabzonspor,19,6,23,57,36,36,6,17,5,6,25,13,19,64,83,54,H
28.01.2023,Antalyaspor,Ümraniyespor,13,17,41,30,36,36,11,7,8,9,17,20,46,47,55,64,H
28.01.2023,Giresunspor,Galatasaray,16,1,40,88,36,36,10,28,10,4,16,4,42,83,60,27,A
29.01.2023,İstanbulspor,Kayserispor,12,9,41,47,36,36,12,15,5,5,19,16,47,55,63,61,A
29.01.2023,Istanbul Basaksehir,Konyaspor,5,8,62,51,36,36,18,12,8,15,10,9,54,49,37,41,H
29.01.2023,Fenerbahce,Kasimpasa,2,10,80,43,36,36,25,12,5,7,6,17,87,45,42,61,H
31.01.2023,Alanyaspor,Sivasspor,15,14,41,41,36,36,11,11,8,8,17,17,54,46,70,54,A
31.01.2023,Fatih Karagümrük,Besiktas,7,3,51,78,36,36,13,23,12,9,11,4,75,78,63,36,D
01.02.2023,Kasimpasa,Giresunspor,10,16,43,40,36,36,12,10,7,10,17,16,45,42,61,60,H
01.02.2023,Gazişehir Gaziantep,Hatayspor,18,19,25,23,36,36,6,6,7,5,23,25,31,19,72,83,H
01.02.2023,Galatasaray,Ümraniyespor,1,17,88,30,36,36,28,7,4,9,4,20,83,47,27,64,H
01.02.2023,Trabzonspor,Antalyaspor,6,13,57,41,36,36,17,11,6,8,13,17,64,46,54,55,H
02.02.2023,Konyaspor,İstanbulspor,8,12,51,41,36,36,12,12,15,5,9,19,49,47,41,63,A
02.02.2023,Kayserispor,Istanbul Basaksehir,9,5,47,62,36,36,15,18,5,8,16,10,55,54,61,37,H
02.02.2023,Adana Demirspor,Fenerbahce,4,2,69,80,36,36,20,25,9,5,7,6,76,87,45,42,D
04.02.2023,Ankaragucu,Fatih Karagümrük,11,7,42,51,36,36,12,13,6,12,18,11,43,75,53,63,A
04.02.2023,Sivasspor,Besiktas,14,3,41,78,36,36,11,23,8,9,17,4,46,78,54,36,H
04.02.2023,Antalyaspor,Gazişehir Gaziantep,13,18,41,25,36,36,11,6,8,7,17,23,46,31,55,72,H
05.02.2023,İstanbulspor,Alanyaspor,12,15,41,41,36,36,12,11,5,8,19,17,47,54,63,70,H
05.02.2023,Hatayspor,Kasimpasa,19,10,23,43,36,36,6,12,5,7,25,17,19,45,83,61,H
05.02.2023,Galatasaray,Trabzonspor,1,6,88,57,36,36,28,17,4,6,4,13,83,64,27,54,H
25.02.2023,Fenerbahce,Konyaspor,2,8,80,51,36,36,25,12,5,15,6,9,87,49,42,41,H
25.02.2023,Giresunspor,Kayserispor,16,9,40,47,36,36,10,15,10,5,16,16,42,55,60,61,A
26.02.2023,Ümraniyespor,Adana Demirspor,17,4,30,69,36,36,7,20,9,9,20,7,47,76,64,45,D
26.02.2023,Besiktas,Antalyaspor,3,13,78,41,36,36,23,11,9,8,4,17,78,46,36,55,D
03.03.2023,Alanyaspor,Istanbul Basaksehir,15,5,41,62,36,36,11,18,8,8,17,10,54,54,70,37,H
04.03.2023,Fatih Karagümrük,Sivasspor,7,14,51,41,36,36,13,11,12,8,11,17,75,46,63,54,H
04.03.2023,Trabzonspor,Ümraniyespor,6,17,57,30,36,36,17,7,6,9,13,20,64,47,54,64,A
04.03.2023,Kayserispor,Fenerbahce,9,2,47,80,36,36,15,25,5,5,16,6,55,87,61,42,A
05.03.2023,Konyaspor,Giresunspor,8,16,51,40,36,36,12,10,15,10,9,16,49,42,41,60,D
05.03.2023,Adana Demirspor,Hatayspor,4,19,69,23,36,36,20,6,9,5,7,25,76,19,45,83,H
05.03.2023,Besiktas,Ankaragucu,3,11,78,42,36,36,23,12,9,6,4,18,78,43,36,53,H
05.03.2023,Gazişehir Gaziantep,Galatasaray,18,1,25,88,36,36,6,28,7,4,23,4,31,83,72,27,A
06.03.2023,Kasimpasa,Antalyaspor,10,13,43,41,36,36,12,11,7,8,17,17,45,46,61,55,H
10.03.2023,Giresunspor,Fatih Karagümrük,16,7,40,51,36,36,10,13,10,12,16,11,42,75,60,63,D
11.03.2023,Antalyaspor,Kayserispor,13,9,41,47,36,36,11,15,8,5,17,16,46,55,55,61,H
11.03.2023,Galatasaray,Kasimpasa,1,10,88,43,36,36,28,12,4,7,4,17,83,45,27,61,H
12.03.2023,Ankaragucu,Alanyaspor,11,15,42,41,36,36,12,11,6,8,18,17,43,54,53,70,H
12.03.2023,Hatayspor,Konyaspor,19,8,23,51,36,36,6,12,5,15,25,9,19,49,83,41,A
12.03.2023,Trabzonspor,Adana Demirspor,6,4,57,69,36,36,17,20,6,9,13,7,64,76,54,45,H
12.03.2023,Ümraniyespor,Gazişehir Gaziantep,17,18,30,25,36,36,7,6,9,7,20,23,47,31,64,72,H
12.03.2023,Istanbul Basaksehir,Besiktas,5,3,62,78,36,36,18,23,8,9,10,4,54,78,37,36,A
13.03.2023,İstanbulspor,Sivasspor,12,14,41,41,36,36,12,11,5,8,19,17,47,46,63,54,H
17.03.2023,Konyaspor,Galatasaray,8,1,51,88,36,36,12,28,15,4,9,4,49,83,41,27,H
18.03.2023,Kasimpasa,Ümraniyespor,10,17,43,30,36,36,12,7,7,9,17,20,45,47,61,64,D
18.03.2023,Adana Demirspor,Antalyaspor,4,13,69,41,36,36,20,11,9,8,7,17,76,46,45,55,H
18.03.2023,Besiktas,İstanbulspor,3,12,78,41,36,36,23,12,9,5,4,19,78,47,36,63,H
19.03.2023,Kayserispor,Hatayspor,9,19,47,23,36,36,15,6,5,5,16,25,55,19,61,83,H
19.03.2023,Sivasspor,Ankaragucu,14,11,41,42,36,36,11,12,8,6,17,18,46,43,54,53,H
19.03.2023,Fatih Karagümrük,Istanbul Basaksehir,7,5,51,62,36,36,13,18,12,8,11,10,75,54,63,37,D
19.03.2023,Alanyaspor,Fenerbahce,15,2,41,80,36,36,11,25,8,5,17,6,54,87,70,42,A
